"volume_id","scan_author_id"
1,1
10,1
2,1
4,1
5,1
6,1
7,1
9,1
12,2
8,3
15,4
19,5
20,5
21,5
22,5
23,5
24,5
33,5
39,5
13,6
25,6
3,6
38,6
39,6
4,6
40,6
41,6
42,6
43,6
44,6
11,7
15,7
16,7
18,7
19,7
20,7
21,7
22,7
35,7
36,7
47,7
58,7
11,8
14,8
25,8
32,8
37,8
40,8
45,8
49,8
75,9
76,9
77,9
78,9
79,9
80,9
83,9
53,10
17,11
3,11
74,11
81,11
82,11
83,11
84,11
68,12
27,13
73,14
1,15
10,15
13,15
14,15
16,15
17,15
19,15
2,15
20,15
23,15
24,15
26,15
27,15
28,15
29,15
3,15
30,15
31,15
32,15
33,15
34,15
37,15
4,15
41,15
45,15
46,15
47,15
48,15
49,15
5,15
50,15
51,15
52,15
54,15
55,15
56,15
57,15
58,15
59,15
6,15
60,15
61,15
62,15
63,15
64,15
65,15
66,15
67,15
68,15
69,15
7,15
70,15
71,15
72,15
73,15
8,15
9,15
